date,area,experiment,variant,metric,value,unit,notes
2026-08-01,generation,temperature_sweep,temp0.6,spread,0.05,stddev,sobre direct_answer_mini
2026-08-01,generation,temperature_sweep,temp1.0,accuracy,4.03,/5,default implicito anterior (nunca fijado)
2026-08-01,generation,temperature_sweep,temp1.0,spread,0.18,stddev,el mas inestable de los 4 -- confirma la sospecha de fijar temperatura
2026-08-05,generation,ragas_topk,topk3,faithfulness,0.783,ratio,direct_answer_mini T=0.3 en produccion -- 46/48 puntuados
2026-08-05,generation,ragas_topk,topk3,answer_relevancy,0.708,ratio,direct_answer_mini T=0.3 en produccion -- 46/48 puntuados
2026-08-05,generation,ragas_topk,topk3,context_precision,0.571,ratio,direct_answer_mini T=0.3 en produccion -- 46/48 puntuados
2026-08-05,generation,ragas_topk,topk3,context_recall,0.679,ratio,direct_answer_mini T=0.3 en produccion -- 46/48 puntuados
2026-08-06,generation,ragas_topk,topk5,faithfulness,0.776,ratio,rag_search top_k 3->5 -- 46/48 puntuados
2026-08-06,generation,ragas_topk,topk5,answer_relevancy,0.718,ratio,rag_search top_k 3->5 -- 46/48 puntuados
2026-08-06,generation,ragas_topk,topk5,context_precision,0.563,ratio,rag_search top_k 3->5 -- 46/48 puntuados
2026-08-06,generation,ragas_topk,topk5,context_recall,0.773,ratio,rag_search top_k 3->5 -- +0.094 vs topk3, mayor mejora del experimento
